[2026-02-24 18:50:22] Starting run: linear_base_lowmask_mask40_bs32_p5_dim192_d4_h6_lr0.0001_wd0.0001_ep100_seed67
[2026-02-24 18:50:22] Using device: cuda
[2026-02-24 18:57:15] Epoch 1: train_loss=0.828644, val_loss=0.807614, best_val=0.807614
[2026-02-24 19:04:09] Epoch 2: train_loss=0.808335, val_loss=0.800359, best_val=0.800359
[2026-02-24 19:11:18] Epoch 3: train_loss=0.807124, val_loss=0.799215, best_val=0.799215
[2026-02-24 19:18:35] Epoch 4: train_loss=0.804722, val_loss=0.807676, best_val=0.799215
[2026-02-24 19:25:49] Epoch 5: train_loss=0.803261, val_loss=0.800409, best_val=0.799215
[2026-02-24 19:32:44] Epoch 6: train_loss=0.798927, val_loss=0.794334, best_val=0.794334
[2026-02-24 19:35:44] Epoch 7: train_loss=0.797563, val_loss=0.794895, best_val=0.794334
[2026-02-24 19:43:47] Epoch 8: train_loss=0.795496, val_loss=0.795490, best_val=0.794334
[2026-02-24 19:51:40] Epoch 9: train_loss=0.793973, val_loss=0.793941, best_val=0.793941
[2026-02-24 19:59:26] Epoch 10: train_loss=0.792148, val_loss=0.789127, best_val=0.789127
[2026-02-24 20:07:28] Epoch 11: train_loss=0.791784, val_loss=0.783988, best_val=0.783988
[2026-02-24 20:15:31] Epoch 12: train_loss=0.789848, val_loss=0.788529, best_val=0.783988
[2026-02-24 20:23:16] Epoch 13: train_loss=0.788710, val_loss=0.787523, best_val=0.783988
[2026-02-24 20:28:38] Epoch 14: train_loss=0.787793, val_loss=0.783636, best_val=0.783636
[2026-02-24 20:30:59] Epoch 15: train_loss=0.787691, val_loss=0.782156, best_val=0.782156
[2026-02-24 20:33:07] Epoch 16: train_loss=0.786113, val_loss=0.786246, best_val=0.782156
[2026-02-24 20:35:21] Epoch 17: train_loss=0.785593, val_loss=0.782043, best_val=0.782043
[2026-02-24 20:37:27] Epoch 18: train_loss=0.784561, val_loss=0.784232, best_val=0.782043
[2026-02-24 20:40:15] Epoch 19: train_loss=0.785099, val_loss=0.782445, best_val=0.782043
[2026-02-24 20:42:23] Epoch 20: train_loss=0.783071, val_loss=0.778536, best_val=0.778536
[2026-02-24 20:44:39] Epoch 21: train_loss=0.783502, val_loss=0.775701, best_val=0.775701
[2026-02-24 20:46:48] Epoch 22: train_loss=0.782490, val_loss=0.779481, best_val=0.775701
[2026-02-24 20:48:58] Epoch 23: train_loss=0.780985, val_loss=0.779079, best_val=0.775701
[2026-02-24 20:51:15] Epoch 24: train_loss=0.780808, val_loss=0.773793, best_val=0.773793
[2026-02-24 20:53:23] Epoch 25: train_loss=0.780837, val_loss=0.781439, best_val=0.773793
[2026-02-24 20:55:40] Epoch 26: train_loss=0.779440, val_loss=0.779701, best_val=0.773793
[2026-02-24 20:57:48] Epoch 27: train_loss=0.778821, val_loss=0.773533, best_val=0.773533
[2026-02-24 21:00:06] Epoch 28: train_loss=0.778621, val_loss=0.780344, best_val=0.773533
[2026-02-24 21:02:17] Epoch 29: train_loss=0.778445, val_loss=0.773177, best_val=0.773177
[2026-02-24 21:04:30] Epoch 30: train_loss=0.778429, val_loss=0.776855, best_val=0.773177
[2026-02-24 21:06:47] Epoch 31: train_loss=0.776479, val_loss=0.777541, best_val=0.773177
[2026-02-24 21:08:58] Epoch 32: train_loss=0.776350, val_loss=0.774620, best_val=0.773177
[2026-02-24 21:11:16] Epoch 33: train_loss=0.776130, val_loss=0.769202, best_val=0.769202
[2026-02-24 21:13:26] Epoch 34: train_loss=0.774557, val_loss=0.772503, best_val=0.769202
[2026-02-24 21:15:43] Epoch 35: train_loss=0.774523, val_loss=0.771526, best_val=0.769202
[2026-02-24 21:17:54] Epoch 36: train_loss=0.774478, val_loss=0.774295, best_val=0.769202
[2026-02-24 21:20:04] Epoch 37: train_loss=0.775221, val_loss=0.773755, best_val=0.769202
[2026-02-24 21:22:21] Epoch 38: train_loss=0.773298, val_loss=0.773176, best_val=0.769202
[2026-02-24 21:24:30] Epoch 39: train_loss=0.772336, val_loss=0.772114, best_val=0.769202
[2026-02-24 21:26:46] Epoch 40: train_loss=0.772520, val_loss=0.769601, best_val=0.769202
[2026-02-24 21:28:57] Epoch 41: train_loss=0.771376, val_loss=0.776011, best_val=0.769202
[2026-02-24 21:31:13] Epoch 42: train_loss=0.770979, val_loss=0.770783, best_val=0.769202
[2026-02-24 21:33:24] Epoch 43: train_loss=0.771011, val_loss=0.771256, best_val=0.769202
[2026-02-24 21:35:33] Epoch 44: train_loss=0.771109, val_loss=0.772298, best_val=0.769202
[2026-02-24 21:37:52] Epoch 45: train_loss=0.769659, val_loss=0.770147, best_val=0.769202
[2026-02-24 21:40:01] Epoch 46: train_loss=0.769352, val_loss=0.771321, best_val=0.769202
[2026-02-24 21:42:01] Epoch 47: train_loss=0.768932, val_loss=0.772300, best_val=0.769202
[2026-02-24 21:43:49] Epoch 48: train_loss=0.769576, val_loss=0.771338, best_val=0.769202
[2026-02-24 21:45:33] Epoch 49: train_loss=0.768191, val_loss=0.766679, best_val=0.766679
[2026-02-24 21:47:23] Epoch 50: train_loss=0.768279, val_loss=0.768827, best_val=0.766679
[2026-02-24 21:49:09] Epoch 51: train_loss=0.768355, val_loss=0.764848, best_val=0.764848
[2026-02-24 21:50:57] Epoch 52: train_loss=0.767778, val_loss=0.767900, best_val=0.764848
[2026-02-24 21:52:53] Epoch 53: train_loss=0.766588, val_loss=0.766780, best_val=0.764848
[2026-02-24 21:54:57] Epoch 54: train_loss=0.766326, val_loss=0.766512, best_val=0.764848
[2026-02-24 21:57:20] Epoch 55: train_loss=0.766650, val_loss=0.766315, best_val=0.764848
[2026-02-24 21:59:35] Epoch 56: train_loss=0.766676, val_loss=0.769832, best_val=0.764848
[2026-02-24 22:01:56] Epoch 57: train_loss=0.766237, val_loss=0.765397, best_val=0.764848
[2026-02-24 22:03:48] Epoch 58: train_loss=0.765051, val_loss=0.765000, best_val=0.764848
[2026-02-24 22:05:38] Epoch 59: train_loss=0.765087, val_loss=0.763296, best_val=0.763296
[2026-02-24 22:07:58] Epoch 60: train_loss=0.764404, val_loss=0.761945, best_val=0.761945
[2026-02-24 22:10:07] Epoch 61: train_loss=0.763861, val_loss=0.762544, best_val=0.761945
[2026-02-24 22:11:53] Epoch 62: train_loss=0.764376, val_loss=0.763734, best_val=0.761945
[2026-02-24 22:13:45] Epoch 63: train_loss=0.765279, val_loss=0.764197, best_val=0.761945
[2026-02-24 22:15:33] Epoch 64: train_loss=0.763604, val_loss=0.768729, best_val=0.761945
[2026-02-24 22:17:45] Epoch 65: train_loss=0.762228, val_loss=0.759111, best_val=0.759111
[2026-02-24 22:19:54] Epoch 66: train_loss=0.763156, val_loss=0.764396, best_val=0.759111
[2026-02-24 22:22:06] Epoch 67: train_loss=0.763020, val_loss=0.756964, best_val=0.756964
[2026-02-24 22:24:21] Epoch 68: train_loss=0.762270, val_loss=0.764570, best_val=0.756964
[2026-02-24 22:26:36] Epoch 69: train_loss=0.762470, val_loss=0.766731, best_val=0.756964
[2026-02-24 22:28:58] Epoch 70: train_loss=0.760996, val_loss=0.762607, best_val=0.756964
[2026-02-24 22:31:07] Epoch 71: train_loss=0.759867, val_loss=0.764554, best_val=0.756964
[2026-02-24 22:34:20] Epoch 72: train_loss=0.761527, val_loss=0.767811, best_val=0.756964
[2026-02-24 22:36:37] Epoch 73: train_loss=0.760694, val_loss=0.760557, best_val=0.756964
[2026-02-24 22:38:58] Epoch 74: train_loss=0.760871, val_loss=0.758304, best_val=0.756964
[2026-02-24 22:41:09] Epoch 75: train_loss=0.760599, val_loss=0.759233, best_val=0.756964
[2026-02-24 22:43:28] Epoch 76: train_loss=0.760558, val_loss=0.756472, best_val=0.756472
[2026-02-24 22:45:36] Epoch 77: train_loss=0.759610, val_loss=0.759554, best_val=0.756472
[2026-02-24 22:47:42] Epoch 78: train_loss=0.759093, val_loss=0.760987, best_val=0.756472
[2026-02-24 22:49:56] Epoch 79: train_loss=0.758787, val_loss=0.761722, best_val=0.756472
[2026-02-24 22:52:07] Epoch 80: train_loss=0.758558, val_loss=0.759421, best_val=0.756472
[2026-02-24 22:54:29] Epoch 81: train_loss=0.758839, val_loss=0.753311, best_val=0.753311
[2026-02-24 22:56:48] Epoch 82: train_loss=0.758307, val_loss=0.757556, best_val=0.753311
[2026-02-24 22:59:09] Epoch 83: train_loss=0.758509, val_loss=0.758824, best_val=0.753311
[2026-02-24 23:01:21] Epoch 84: train_loss=0.757836, val_loss=0.760494, best_val=0.753311
[2026-02-24 23:03:43] Epoch 85: train_loss=0.758479, val_loss=0.760740, best_val=0.753311
[2026-02-24 23:05:52] Epoch 86: train_loss=0.758260, val_loss=0.758727, best_val=0.753311
[2026-02-24 23:07:59] Epoch 87: train_loss=0.758707, val_loss=0.758650, best_val=0.753311
[2026-02-24 23:10:14] Epoch 88: train_loss=0.757002, val_loss=0.761313, best_val=0.753311
[2026-02-24 23:12:22] Epoch 89: train_loss=0.758087, val_loss=0.755771, best_val=0.753311
[2026-02-24 23:14:42] Epoch 90: train_loss=0.756649, val_loss=0.759673, best_val=0.753311
[2026-02-24 23:16:50] Epoch 91: train_loss=0.756334, val_loss=0.758870, best_val=0.753311
[2026-02-24 23:19:06] Epoch 92: train_loss=0.756714, val_loss=0.761019, best_val=0.753311
[2026-02-24 23:21:17] Epoch 93: train_loss=0.756438, val_loss=0.756942, best_val=0.753311
[2026-02-24 23:23:26] Epoch 94: train_loss=0.756761, val_loss=0.759744, best_val=0.753311
[2026-02-24 23:25:42] Epoch 95: train_loss=0.756308, val_loss=0.760398, best_val=0.753311
[2026-02-24 23:27:50] Epoch 96: train_loss=0.756188, val_loss=0.759240, best_val=0.753311
[2026-02-24 23:30:07] Epoch 97: train_loss=0.756761, val_loss=0.754415, best_val=0.753311
[2026-02-24 23:32:22] Epoch 98: train_loss=0.756129, val_loss=0.757886, best_val=0.753311
[2026-02-24 23:34:42] Epoch 99: train_loss=0.755368, val_loss=0.758844, best_val=0.753311
[2026-02-24 23:36:54] Epoch 100: train_loss=0.755835, val_loss=0.761748, best_val=0.753311
[2026-02-24 23:36:54] Finished run: linear_base_lowmask_mask40_bs32_p5_dim192_d4_h6_lr0.0001_wd0.0001_ep100_seed67
