[2026-02-26 11:09:08] Starting run: linear_compact_mask60_bs64_p5_dim128_d4_h4_lr0.00015_wd0.0001_ep100_seed67
[2026-02-26 11:09:08] Using device: cuda
[2026-02-26 11:10:26] Epoch 1: train_loss=0.845953, val_loss=0.813387, best_val=0.813387
[2026-02-26 11:11:45] Epoch 2: train_loss=0.809755, val_loss=0.805719, best_val=0.805719
[2026-02-26 11:13:03] Epoch 3: train_loss=0.808659, val_loss=0.806350, best_val=0.805719
[2026-02-26 11:14:29] Epoch 4: train_loss=0.808484, val_loss=0.805019, best_val=0.805019
[2026-02-26 11:15:49] Epoch 5: train_loss=0.807738, val_loss=0.805508, best_val=0.805019
[2026-02-26 11:17:10] Epoch 6: train_loss=0.807591, val_loss=0.805898, best_val=0.805019
[2026-02-26 11:18:37] Epoch 7: train_loss=0.807537, val_loss=0.803600, best_val=0.803600
[2026-02-26 11:19:59] Epoch 8: train_loss=0.806414, val_loss=0.806419, best_val=0.803600
[2026-02-26 11:21:20] Epoch 9: train_loss=0.805993, val_loss=0.803667, best_val=0.803600
[2026-02-26 11:22:42] Epoch 10: train_loss=0.803066, val_loss=0.798197, best_val=0.798197
[2026-02-26 11:24:09] Epoch 11: train_loss=0.800852, val_loss=0.793705, best_val=0.793705
[2026-02-26 11:25:29] Epoch 12: train_loss=0.799076, val_loss=0.793974, best_val=0.793705
[2026-02-26 11:26:51] Epoch 13: train_loss=0.797119, val_loss=0.793530, best_val=0.793530
[2026-02-26 11:28:12] Epoch 14: train_loss=0.795667, val_loss=0.790450, best_val=0.790450
[2026-02-26 11:29:38] Epoch 15: train_loss=0.795314, val_loss=0.792740, best_val=0.790450
[2026-02-26 11:30:58] Epoch 16: train_loss=0.793160, val_loss=0.791309, best_val=0.790450
[2026-02-26 11:32:19] Epoch 17: train_loss=0.794307, val_loss=0.788199, best_val=0.788199
[2026-02-26 11:33:40] Epoch 18: train_loss=0.793120, val_loss=0.792229, best_val=0.788199
[2026-02-26 11:35:07] Epoch 19: train_loss=0.792535, val_loss=0.790649, best_val=0.788199
[2026-02-26 11:36:28] Epoch 20: train_loss=0.791985, val_loss=0.788085, best_val=0.788085
[2026-02-26 11:37:45] Epoch 21: train_loss=0.791813, val_loss=0.785878, best_val=0.785878
[2026-02-26 11:39:11] Epoch 22: train_loss=0.791141, val_loss=0.788732, best_val=0.785878
[2026-02-26 11:40:29] Epoch 23: train_loss=0.790426, val_loss=0.786773, best_val=0.785878
[2026-02-26 11:41:51] Epoch 24: train_loss=0.790236, val_loss=0.787645, best_val=0.785878
[2026-02-26 11:43:11] Epoch 25: train_loss=0.791207, val_loss=0.788820, best_val=0.785878
[2026-02-26 11:44:38] Epoch 26: train_loss=0.789846, val_loss=0.782881, best_val=0.782881
[2026-02-26 11:46:00] Epoch 27: train_loss=0.789267, val_loss=0.784177, best_val=0.782881
[2026-02-26 11:47:21] Epoch 28: train_loss=0.788945, val_loss=0.791163, best_val=0.782881
[2026-02-26 11:48:42] Epoch 29: train_loss=0.788811, val_loss=0.787620, best_val=0.782881
[2026-02-26 11:50:08] Epoch 30: train_loss=0.788224, val_loss=0.784163, best_val=0.782881
[2026-02-26 11:51:29] Epoch 31: train_loss=0.789244, val_loss=0.785545, best_val=0.782881
[2026-02-26 11:52:52] Epoch 32: train_loss=0.788579, val_loss=0.788072, best_val=0.782881
[2026-02-26 11:54:13] Epoch 33: train_loss=0.787786, val_loss=0.785576, best_val=0.782881
[2026-02-26 11:55:40] Epoch 34: train_loss=0.788249, val_loss=0.783125, best_val=0.782881
[2026-02-26 11:57:01] Epoch 35: train_loss=0.787177, val_loss=0.783529, best_val=0.782881
[2026-02-26 11:58:22] Epoch 36: train_loss=0.787654, val_loss=0.785497, best_val=0.782881
[2026-02-26 11:59:49] Epoch 37: train_loss=0.787594, val_loss=0.782694, best_val=0.782694
[2026-02-26 12:01:11] Epoch 38: train_loss=0.786647, val_loss=0.785356, best_val=0.782694
[2026-02-26 12:02:31] Epoch 39: train_loss=0.786798, val_loss=0.784573, best_val=0.782694
[2026-02-26 12:03:52] Epoch 40: train_loss=0.786778, val_loss=0.783948, best_val=0.782694
[2026-02-26 12:05:19] Epoch 41: train_loss=0.786736, val_loss=0.786047, best_val=0.782694
[2026-02-26 12:06:40] Epoch 42: train_loss=0.786591, val_loss=0.784717, best_val=0.782694
[2026-02-26 12:08:02] Epoch 43: train_loss=0.786075, val_loss=0.784348, best_val=0.782694
[2026-02-26 12:09:23] Epoch 44: train_loss=0.785926, val_loss=0.785857, best_val=0.782694
[2026-02-26 12:10:50] Epoch 45: train_loss=0.785172, val_loss=0.781055, best_val=0.781055
[2026-02-26 12:12:11] Epoch 46: train_loss=0.784799, val_loss=0.786405, best_val=0.781055
[2026-02-26 12:13:31] Epoch 47: train_loss=0.785138, val_loss=0.782667, best_val=0.781055
[2026-02-26 12:14:57] Epoch 48: train_loss=0.784917, val_loss=0.779141, best_val=0.779141
