[2026-02-25 18:23:47] Starting run: linear_deep_mask60_bs24_p5_dim256_d6_h8_lr8e-05_wd0.0001_ep100_seed67
[2026-02-25 18:23:47] Using device: cuda
[2026-02-25 18:27:43] Epoch 1: train_loss=0.823877, val_loss=0.809629, best_val=0.809629
[2026-02-25 18:31:44] Epoch 2: train_loss=0.808581, val_loss=0.805972, best_val=0.805972
[2026-02-25 18:35:38] Epoch 3: train_loss=0.807522, val_loss=0.806752, best_val=0.805972
[2026-02-25 18:39:34] Epoch 4: train_loss=0.806062, val_loss=0.803502, best_val=0.803502
[2026-02-25 18:43:28] Epoch 5: train_loss=0.805755, val_loss=0.795955, best_val=0.795955
[2026-02-25 18:47:26] Epoch 6: train_loss=0.799223, val_loss=0.793391, best_val=0.793391
[2026-02-25 18:51:18] Epoch 7: train_loss=0.796236, val_loss=0.792247, best_val=0.792247
[2026-02-25 18:55:13] Epoch 8: train_loss=0.794373, val_loss=0.791191, best_val=0.791191
[2026-02-25 18:59:09] Epoch 9: train_loss=0.793177, val_loss=0.790031, best_val=0.790031
[2026-02-25 19:03:21] Epoch 10: train_loss=0.792349, val_loss=0.791302, best_val=0.790031
[2026-02-25 19:07:10] Epoch 11: train_loss=0.791182, val_loss=0.786101, best_val=0.786101
[2026-02-25 19:11:08] Epoch 12: train_loss=0.790944, val_loss=0.791968, best_val=0.786101
[2026-02-25 19:15:06] Epoch 13: train_loss=0.789875, val_loss=0.786272, best_val=0.786101
[2026-02-25 19:19:01] Epoch 14: train_loss=0.789242, val_loss=0.785437, best_val=0.785437
[2026-02-25 19:22:58] Epoch 15: train_loss=0.788942, val_loss=0.786680, best_val=0.785437
[2026-02-25 19:26:49] Epoch 16: train_loss=0.788482, val_loss=0.785102, best_val=0.785102
[2026-02-25 19:30:46] Epoch 17: train_loss=0.787867, val_loss=0.785595, best_val=0.785102
[2026-02-25 19:34:43] Epoch 18: train_loss=0.787617, val_loss=0.784205, best_val=0.784205
[2026-02-25 19:38:41] Epoch 19: train_loss=0.787161, val_loss=0.785025, best_val=0.784205
[2026-02-25 19:42:29] Epoch 20: train_loss=0.786261, val_loss=0.782911, best_val=0.782911
[2026-02-25 19:46:27] Epoch 21: train_loss=0.786667, val_loss=0.783668, best_val=0.782911
[2026-02-25 19:50:27] Epoch 22: train_loss=0.784943, val_loss=0.781158, best_val=0.781158
[2026-02-25 19:54:24] Epoch 23: train_loss=0.784470, val_loss=0.780629, best_val=0.780629
[2026-02-25 19:58:16] Epoch 24: train_loss=0.784534, val_loss=0.780487, best_val=0.780487
[2026-02-25 20:02:18] Epoch 25: train_loss=0.783535, val_loss=0.781312, best_val=0.780487
[2026-02-25 20:06:21] Epoch 26: train_loss=0.783277, val_loss=0.779492, best_val=0.779492
[2026-02-25 20:10:20] Epoch 27: train_loss=0.782395, val_loss=0.781430, best_val=0.779492
[2026-02-25 20:14:43] Epoch 28: train_loss=0.782444, val_loss=0.775480, best_val=0.775480
[2026-02-25 20:18:37] Epoch 29: train_loss=0.781153, val_loss=0.780161, best_val=0.775480
[2026-02-25 20:22:39] Epoch 30: train_loss=0.780409, val_loss=0.779589, best_val=0.775480
[2026-02-25 20:26:41] Epoch 31: train_loss=0.779845, val_loss=0.779514, best_val=0.775480
