[2026-02-25 23:57:37] Starting run: linear_deeper_mask60_bs16_p5_dim256_d8_h8_lr6e-05_wd0.0001_ep100_seed67
[2026-02-25 23:57:37] Using device: cuda
[2026-02-26 00:01:25] Epoch 1: train_loss=0.822590, val_loss=0.805964, best_val=0.805964
[2026-02-26 00:05:08] Epoch 2: train_loss=0.809104, val_loss=0.809256, best_val=0.805964
[2026-02-26 00:08:58] Epoch 3: train_loss=0.807143, val_loss=0.802088, best_val=0.802088
[2026-02-26 00:12:47] Epoch 4: train_loss=0.805927, val_loss=0.803120, best_val=0.802088
[2026-02-26 00:16:36] Epoch 5: train_loss=0.805798, val_loss=0.805355, best_val=0.802088
[2026-02-26 00:20:18] Epoch 6: train_loss=0.804634, val_loss=0.800454, best_val=0.800454
[2026-02-26 00:24:06] Epoch 7: train_loss=0.799550, val_loss=0.797931, best_val=0.797931
[2026-02-26 00:27:52] Epoch 8: train_loss=0.795675, val_loss=0.793135, best_val=0.793135
[2026-02-26 00:31:39] Epoch 9: train_loss=0.793758, val_loss=0.789198, best_val=0.789198
[2026-02-26 00:35:21] Epoch 10: train_loss=0.792482, val_loss=0.791305, best_val=0.789198
[2026-02-26 00:39:07] Epoch 11: train_loss=0.791487, val_loss=0.790580, best_val=0.789198
[2026-02-26 00:42:57] Epoch 12: train_loss=0.790749, val_loss=0.787346, best_val=0.787346
[2026-02-26 00:46:46] Epoch 13: train_loss=0.789551, val_loss=0.786390, best_val=0.786390
[2026-02-26 00:50:29] Epoch 14: train_loss=0.789105, val_loss=0.786072, best_val=0.786072
[2026-02-26 00:54:23] Epoch 15: train_loss=0.788564, val_loss=0.784486, best_val=0.784486
[2026-02-26 00:58:12] Epoch 16: train_loss=0.786833, val_loss=0.788181, best_val=0.784486
[2026-02-26 01:01:59] Epoch 17: train_loss=0.786662, val_loss=0.785143, best_val=0.784486
[2026-02-26 01:05:41] Epoch 18: train_loss=0.786009, val_loss=0.783348, best_val=0.783348
[2026-02-26 01:09:32] Epoch 19: train_loss=0.786626, val_loss=0.781234, best_val=0.781234
[2026-02-26 01:13:20] Epoch 20: train_loss=0.785172, val_loss=0.784532, best_val=0.781234
[2026-02-26 01:17:04] Epoch 21: train_loss=0.784942, val_loss=0.784496, best_val=0.781234
[2026-02-26 01:20:51] Epoch 22: train_loss=0.784698, val_loss=0.779662, best_val=0.779662
[2026-02-26 01:24:38] Epoch 23: train_loss=0.784041, val_loss=0.782527, best_val=0.779662
[2026-02-26 01:28:26] Epoch 24: train_loss=0.784050, val_loss=0.782840, best_val=0.779662
[2026-02-26 01:32:08] Epoch 25: train_loss=0.782667, val_loss=0.781533, best_val=0.779662
[2026-02-26 01:35:57] Epoch 26: train_loss=0.782107, val_loss=0.779261, best_val=0.779261
[2026-02-26 01:39:45] Epoch 27: train_loss=0.780976, val_loss=0.778857, best_val=0.778857
[2026-02-26 01:43:34] Epoch 28: train_loss=0.780381, val_loss=0.779964, best_val=0.778857
[2026-02-26 01:47:17] Epoch 29: train_loss=0.779068, val_loss=0.777892, best_val=0.777892
[2026-02-26 01:51:02] Epoch 30: train_loss=0.778132, val_loss=0.776225, best_val=0.776225
[2026-02-26 01:54:52] Epoch 31: train_loss=0.777352, val_loss=0.772985, best_val=0.772985
[2026-02-26 01:58:41] Epoch 32: train_loss=0.776478, val_loss=0.773967, best_val=0.772985
[2026-02-26 02:02:23] Epoch 33: train_loss=0.775978, val_loss=0.772551, best_val=0.772551
