[2026-02-25 04:42:01] Starting run: linear_highmask_mask75_bs32_p5_dim256_d4_h8_lr0.0001_wd0.0001_ep100_seed67
[2026-02-25 04:42:01] Using device: cuda
[2026-02-25 04:44:58] Epoch 1: train_loss=0.826638, val_loss=0.809297, best_val=0.809297
[2026-02-25 04:47:47] Epoch 2: train_loss=0.810215, val_loss=0.803217, best_val=0.803217
[2026-02-25 04:50:44] Epoch 3: train_loss=0.808525, val_loss=0.804736, best_val=0.803217
[2026-02-25 04:53:17] Epoch 4: train_loss=0.808088, val_loss=0.807869, best_val=0.803217
[2026-02-25 04:55:38] Epoch 5: train_loss=0.808358, val_loss=0.805908, best_val=0.803217
[2026-02-25 04:57:53] Epoch 6: train_loss=0.807438, val_loss=0.805023, best_val=0.803217
[2026-02-25 05:00:14] Epoch 7: train_loss=0.807288, val_loss=0.805840, best_val=0.803217
[2026-02-25 05:02:25] Epoch 8: train_loss=0.805211, val_loss=0.802205, best_val=0.802205
[2026-02-25 05:04:43] Epoch 9: train_loss=0.801236, val_loss=0.800573, best_val=0.800573
[2026-02-25 05:06:57] Epoch 10: train_loss=0.800041, val_loss=0.797731, best_val=0.797731
[2026-02-25 05:09:19] Epoch 11: train_loss=0.798589, val_loss=0.794275, best_val=0.794275
[2026-02-25 05:11:34] Epoch 12: train_loss=0.798155, val_loss=0.796482, best_val=0.794275
[2026-02-25 05:13:49] Epoch 13: train_loss=0.797619, val_loss=0.796030, best_val=0.794275
[2026-02-25 05:16:09] Epoch 14: train_loss=0.797131, val_loss=0.795713, best_val=0.794275
[2026-02-25 05:18:21] Epoch 15: train_loss=0.796040, val_loss=0.793486, best_val=0.793486
[2026-02-25 05:20:42] Epoch 16: train_loss=0.795965, val_loss=0.795048, best_val=0.793486
[2026-02-25 05:22:57] Epoch 17: train_loss=0.794598, val_loss=0.795474, best_val=0.793486
[2026-02-25 05:25:17] Epoch 18: train_loss=0.794624, val_loss=0.793461, best_val=0.793461
[2026-02-25 05:27:30] Epoch 19: train_loss=0.794349, val_loss=0.793333, best_val=0.793333
[2026-02-25 05:29:49] Epoch 20: train_loss=0.794107, val_loss=0.789262, best_val=0.789262
[2026-02-25 05:32:04] Epoch 21: train_loss=0.793484, val_loss=0.789352, best_val=0.789262
[2026-02-25 05:34:19] Epoch 22: train_loss=0.793093, val_loss=0.788775, best_val=0.788775
[2026-02-25 05:36:39] Epoch 23: train_loss=0.792960, val_loss=0.790024, best_val=0.788775
[2026-02-25 05:38:51] Epoch 24: train_loss=0.793128, val_loss=0.790172, best_val=0.788775
[2026-02-25 05:41:08] Epoch 25: train_loss=0.792284, val_loss=0.787912, best_val=0.787912
[2026-02-25 05:43:21] Epoch 26: train_loss=0.792571, val_loss=0.788544, best_val=0.787912
[2026-02-25 05:45:39] Epoch 27: train_loss=0.791406, val_loss=0.788859, best_val=0.787912
[2026-02-25 05:47:51] Epoch 28: train_loss=0.791217, val_loss=0.789152, best_val=0.787912
[2026-02-25 05:50:12] Epoch 29: train_loss=0.790900, val_loss=0.786756, best_val=0.786756
[2026-02-25 05:52:26] Epoch 30: train_loss=0.790318, val_loss=0.789807, best_val=0.786756
[2026-02-25 05:54:40] Epoch 31: train_loss=0.789303, val_loss=0.786870, best_val=0.786756
[2026-02-25 05:56:59] Epoch 32: train_loss=0.788609, val_loss=0.787836, best_val=0.786756
[2026-02-25 05:59:12] Epoch 33: train_loss=0.788111, val_loss=0.785857, best_val=0.785857
[2026-02-25 06:01:30] Epoch 34: train_loss=0.787146, val_loss=0.782067, best_val=0.782067
[2026-02-25 06:03:44] Epoch 35: train_loss=0.786543, val_loss=0.784577, best_val=0.782067
[2026-02-25 06:06:03] Epoch 36: train_loss=0.786575, val_loss=0.783937, best_val=0.782067
[2026-02-25 06:08:18] Epoch 37: train_loss=0.785124, val_loss=0.784820, best_val=0.782067
[2026-02-25 06:10:31] Epoch 38: train_loss=0.784759, val_loss=0.782882, best_val=0.782067
[2026-02-25 06:12:52] Epoch 39: train_loss=0.784516, val_loss=0.782905, best_val=0.782067
[2026-02-25 06:15:06] Epoch 40: train_loss=0.783984, val_loss=0.782921, best_val=0.782067
[2026-02-25 06:17:25] Epoch 41: train_loss=0.783088, val_loss=0.783034, best_val=0.782067
[2026-02-25 06:19:37] Epoch 42: train_loss=0.782679, val_loss=0.779487, best_val=0.779487
[2026-02-25 06:21:57] Epoch 43: train_loss=0.782601, val_loss=0.780214, best_val=0.779487
[2026-02-25 06:24:12] Epoch 44: train_loss=0.781797, val_loss=0.783577, best_val=0.779487
[2026-02-25 06:26:32] Epoch 45: train_loss=0.781443, val_loss=0.780719, best_val=0.779487
[2026-02-25 06:28:47] Epoch 46: train_loss=0.780879, val_loss=0.779372, best_val=0.779372
[2026-02-25 06:31:01] Epoch 47: train_loss=0.780890, val_loss=0.782336, best_val=0.779372
[2026-02-25 06:33:21] Epoch 48: train_loss=0.780673, val_loss=0.779459, best_val=0.779372
[2026-02-25 06:35:37] Epoch 49: train_loss=0.779764, val_loss=0.778010, best_val=0.778010
[2026-02-25 06:37:58] Epoch 50: train_loss=0.779656, val_loss=0.779597, best_val=0.778010
[2026-02-25 06:40:10] Epoch 51: train_loss=0.778912, val_loss=0.778733, best_val=0.778010
