[2026-02-27 04:20:36] Starting run: linear_highwd_mask60_bs32_p5_dim256_d4_h8_lr0.0001_wd0.0005_ep100_seed67
[2026-02-27 04:20:36] Using device: cuda
[2026-02-27 04:22:48] Epoch 1: train_loss=0.826485, val_loss=0.804801, best_val=0.804801
[2026-02-27 04:25:00] Epoch 2: train_loss=0.808675, val_loss=0.799120, best_val=0.799120
[2026-02-27 04:27:20] Epoch 3: train_loss=0.806534, val_loss=0.801193, best_val=0.799120
[2026-02-27 04:29:32] Epoch 4: train_loss=0.806794, val_loss=0.806532, best_val=0.799120
[2026-02-27 04:31:52] Epoch 5: train_loss=0.805337, val_loss=0.800291, best_val=0.799120
[2026-02-27 04:34:04] Epoch 6: train_loss=0.799346, val_loss=0.793777, best_val=0.793777
[2026-02-27 04:36:22] Epoch 7: train_loss=0.796269, val_loss=0.794400, best_val=0.793777
[2026-02-27 04:38:33] Epoch 8: train_loss=0.794569, val_loss=0.794591, best_val=0.793777
[2026-02-27 04:40:45] Epoch 9: train_loss=0.792662, val_loss=0.790294, best_val=0.790294
[2026-02-27 04:43:05] Epoch 10: train_loss=0.792567, val_loss=0.788687, best_val=0.788687
[2026-02-27 04:45:18] Epoch 11: train_loss=0.791402, val_loss=0.789006, best_val=0.788687
[2026-02-27 04:47:35] Epoch 12: train_loss=0.791750, val_loss=0.788785, best_val=0.788687
[2026-02-27 04:49:46] Epoch 13: train_loss=0.791295, val_loss=0.789022, best_val=0.788687
[2026-02-27 04:52:01] Epoch 14: train_loss=0.790834, val_loss=0.791887, best_val=0.788687
[2026-02-27 04:54:10] Epoch 15: train_loss=0.789428, val_loss=0.787099, best_val=0.787099
[2026-02-27 04:56:21] Epoch 16: train_loss=0.789401, val_loss=0.788355, best_val=0.787099
[2026-02-27 04:58:37] Epoch 17: train_loss=0.787954, val_loss=0.789214, best_val=0.787099
[2026-02-27 05:00:48] Epoch 18: train_loss=0.788707, val_loss=0.787700, best_val=0.787099
[2026-02-27 05:03:05] Epoch 19: train_loss=0.788102, val_loss=0.787579, best_val=0.787099
[2026-02-27 05:05:18] Epoch 20: train_loss=0.787657, val_loss=0.783286, best_val=0.783286
[2026-02-27 05:07:34] Epoch 21: train_loss=0.787076, val_loss=0.781093, best_val=0.781093
[2026-02-27 05:09:45] Epoch 22: train_loss=0.786711, val_loss=0.782638, best_val=0.781093
[2026-02-27 05:12:02] Epoch 23: train_loss=0.786034, val_loss=0.782978, best_val=0.781093
[2026-02-27 05:14:15] Epoch 24: train_loss=0.786299, val_loss=0.782969, best_val=0.781093
[2026-02-27 05:16:28] Epoch 25: train_loss=0.785361, val_loss=0.783769, best_val=0.781093
[2026-02-27 05:18:46] Epoch 26: train_loss=0.785807, val_loss=0.782455, best_val=0.781093
[2026-02-27 05:20:59] Epoch 27: train_loss=0.784007, val_loss=0.781723, best_val=0.781093
[2026-02-27 05:23:18] Epoch 28: train_loss=0.784409, val_loss=0.782121, best_val=0.781093
[2026-02-27 05:25:31] Epoch 29: train_loss=0.783627, val_loss=0.779027, best_val=0.779027
[2026-02-27 05:27:47] Epoch 30: train_loss=0.782062, val_loss=0.781774, best_val=0.779027
[2026-02-27 05:29:58] Epoch 31: train_loss=0.782187, val_loss=0.781451, best_val=0.779027
[2026-02-27 05:32:09] Epoch 32: train_loss=0.781477, val_loss=0.782511, best_val=0.779027
[2026-02-27 05:34:28] Epoch 33: train_loss=0.780918, val_loss=0.778283, best_val=0.778283
[2026-02-27 05:36:37] Epoch 34: train_loss=0.780483, val_loss=0.774842, best_val=0.774842
[2026-02-27 05:38:55] Epoch 35: train_loss=0.779665, val_loss=0.777203, best_val=0.774842
[2026-02-27 05:41:06] Epoch 36: train_loss=0.779127, val_loss=0.774598, best_val=0.774598
[2026-02-27 05:43:22] Epoch 37: train_loss=0.777500, val_loss=0.776048, best_val=0.774598
[2026-02-27 05:45:34] Epoch 38: train_loss=0.777322, val_loss=0.776449, best_val=0.774598
[2026-02-27 05:47:54] Epoch 39: train_loss=0.776823, val_loss=0.774355, best_val=0.774355
[2026-02-27 05:50:06] Epoch 40: train_loss=0.776438, val_loss=0.774779, best_val=0.774355
[2026-02-27 05:52:17] Epoch 41: train_loss=0.774872, val_loss=0.777550, best_val=0.774355
