[2026-02-26 13:26:09] Starting run: linear_large_mask60_bs12_p5_dim384_d6_h12_lr6e-05_wd0.0001_ep100_seed67
[2026-02-26 13:26:09] Using device: cuda
[2026-02-26 13:31:04] Epoch 1: train_loss=0.816984, val_loss=0.808723, best_val=0.808723
[2026-02-26 13:35:56] Epoch 2: train_loss=0.807570, val_loss=0.805280, best_val=0.805280
[2026-02-26 13:40:53] Epoch 3: train_loss=0.806644, val_loss=0.802371, best_val=0.802371
[2026-02-26 13:45:48] Epoch 4: train_loss=0.800246, val_loss=0.792382, best_val=0.792382
[2026-02-26 13:50:40] Epoch 5: train_loss=0.796193, val_loss=0.792440, best_val=0.792382
[2026-02-26 13:55:35] Epoch 6: train_loss=0.793374, val_loss=0.790148, best_val=0.790148
[2026-02-26 14:00:27] Epoch 7: train_loss=0.791842, val_loss=0.788753, best_val=0.788753
[2026-02-26 14:05:18] Epoch 8: train_loss=0.790612, val_loss=0.790043, best_val=0.788753
[2026-02-26 14:10:10] Epoch 9: train_loss=0.789314, val_loss=0.788644, best_val=0.788644
[2026-02-26 14:15:03] Epoch 10: train_loss=0.788572, val_loss=0.788251, best_val=0.788251
[2026-02-26 14:19:55] Epoch 11: train_loss=0.788365, val_loss=0.785814, best_val=0.785814
[2026-02-26 14:24:46] Epoch 12: train_loss=0.786968, val_loss=0.785295, best_val=0.785295
[2026-02-26 14:29:41] Epoch 13: train_loss=0.786142, val_loss=0.782870, best_val=0.782870
[2026-02-26 14:34:34] Epoch 14: train_loss=0.784811, val_loss=0.779041, best_val=0.779041
[2026-02-26 14:39:25] Epoch 15: train_loss=0.784087, val_loss=0.780699, best_val=0.779041
[2026-02-26 14:44:19] Epoch 16: train_loss=0.783384, val_loss=0.780089, best_val=0.779041
[2026-02-26 14:49:15] Epoch 17: train_loss=0.780826, val_loss=0.777352, best_val=0.777352
[2026-02-26 14:54:09] Epoch 18: train_loss=0.779767, val_loss=0.776665, best_val=0.776665
[2026-02-26 14:58:59] Epoch 19: train_loss=0.778909, val_loss=0.777771, best_val=0.776665
[2026-02-26 15:03:52] Epoch 20: train_loss=0.776906, val_loss=0.772574, best_val=0.772574
[2026-02-26 15:08:45] Epoch 21: train_loss=0.776355, val_loss=0.774535, best_val=0.772574
[2026-02-26 15:13:40] Epoch 22: train_loss=0.776464, val_loss=0.773239, best_val=0.772574
[2026-02-26 15:18:33] Epoch 23: train_loss=0.775113, val_loss=0.768914, best_val=0.768914
[2026-02-26 15:23:24] Epoch 24: train_loss=0.773117, val_loss=0.772098, best_val=0.768914
[2026-02-26 15:28:15] Epoch 25: train_loss=0.773112, val_loss=0.770440, best_val=0.768914
[2026-02-26 15:33:10] Epoch 26: train_loss=0.772897, val_loss=0.773546, best_val=0.768914
[2026-02-26 15:38:04] Epoch 27: train_loss=0.771495, val_loss=0.769762, best_val=0.768914
[2026-02-26 15:42:57] Epoch 28: train_loss=0.771165, val_loss=0.770214, best_val=0.768914
[2026-02-26 15:47:51] Epoch 29: train_loss=0.770555, val_loss=0.772016, best_val=0.768914
[2026-02-26 15:52:43] Epoch 30: train_loss=0.769601, val_loss=0.772272, best_val=0.768914
[2026-02-26 15:57:38] Epoch 31: train_loss=0.769044, val_loss=0.768747, best_val=0.768747
[2026-02-26 16:02:31] Epoch 32: train_loss=0.769124, val_loss=0.766227, best_val=0.766227
[2026-02-26 16:07:27] Epoch 33: train_loss=0.768052, val_loss=0.767769, best_val=0.766227
[2026-02-26 16:12:21] Epoch 34: train_loss=0.767353, val_loss=0.768292, best_val=0.766227
[2026-02-26 16:17:16] Epoch 35: train_loss=0.768086, val_loss=0.763021, best_val=0.763021
[2026-02-26 16:22:13] Epoch 36: train_loss=0.767087, val_loss=0.766023, best_val=0.763021
[2026-02-26 16:27:07] Epoch 37: train_loss=0.765655, val_loss=0.766196, best_val=0.763021
[2026-02-26 16:32:02] Epoch 38: train_loss=0.765321, val_loss=0.768689, best_val=0.763021
[2026-02-26 16:36:56] Epoch 39: train_loss=0.765540, val_loss=0.763244, best_val=0.763021
[2026-02-26 16:41:43] Epoch 40: train_loss=0.765065, val_loss=0.759883, best_val=0.759883
[2026-02-26 16:46:35] Epoch 41: train_loss=0.763665, val_loss=0.762510, best_val=0.759883
[2026-02-26 16:51:26] Epoch 42: train_loss=0.763510, val_loss=0.763718, best_val=0.759883
[2026-02-26 16:56:22] Epoch 43: train_loss=0.763463, val_loss=0.764276, best_val=0.759883
