[2026-02-25 08:31:11] Starting run: linear_midmask_bigbatch_mask50_bs48_p5_dim256_d4_h8_lr0.0001_wd0.0001_ep100_seed67
[2026-02-25 08:31:11] Using device: cuda
[2026-02-25 08:33:19] Epoch 1: train_loss=0.832528, val_loss=0.808636, best_val=0.808636
[2026-02-25 08:35:32] Epoch 2: train_loss=0.807838, val_loss=0.808715, best_val=0.808636
[2026-02-25 08:37:36] Epoch 3: train_loss=0.806111, val_loss=0.806177, best_val=0.806177
[2026-02-25 08:39:41] Epoch 4: train_loss=0.805236, val_loss=0.801586, best_val=0.801586
[2026-02-25 08:41:51] Epoch 5: train_loss=0.804065, val_loss=0.801345, best_val=0.801345
[2026-02-25 08:43:56] Epoch 6: train_loss=0.798907, val_loss=0.792084, best_val=0.792084
[2026-02-25 08:46:10] Epoch 7: train_loss=0.794868, val_loss=0.787957, best_val=0.787957
[2026-02-25 08:48:15] Epoch 8: train_loss=0.793922, val_loss=0.789237, best_val=0.787957
[2026-02-25 08:50:27] Epoch 9: train_loss=0.791030, val_loss=0.788708, best_val=0.787957
[2026-02-25 08:52:31] Epoch 10: train_loss=0.791440, val_loss=0.791797, best_val=0.787957
[2026-02-25 08:54:35] Epoch 11: train_loss=0.790902, val_loss=0.788459, best_val=0.787957
[2026-02-25 08:56:47] Epoch 12: train_loss=0.790135, val_loss=0.790486, best_val=0.787957
[2026-02-25 08:58:51] Epoch 13: train_loss=0.789039, val_loss=0.786495, best_val=0.786495
[2026-02-25 09:01:06] Epoch 14: train_loss=0.788981, val_loss=0.787896, best_val=0.786495
[2026-02-25 09:03:13] Epoch 15: train_loss=0.788192, val_loss=0.784999, best_val=0.784999
[2026-02-25 09:05:19] Epoch 16: train_loss=0.787232, val_loss=0.785951, best_val=0.784999
[2026-02-25 09:07:30] Epoch 17: train_loss=0.787007, val_loss=0.786826, best_val=0.784999
[2026-02-25 09:09:36] Epoch 18: train_loss=0.785003, val_loss=0.783021, best_val=0.783021
[2026-02-25 09:11:49] Epoch 19: train_loss=0.785801, val_loss=0.785243, best_val=0.783021
[2026-02-25 09:13:56] Epoch 20: train_loss=0.785320, val_loss=0.785469, best_val=0.783021
[2026-02-25 09:16:08] Epoch 21: train_loss=0.784949, val_loss=0.786401, best_val=0.783021
[2026-02-25 09:18:14] Epoch 22: train_loss=0.783230, val_loss=0.783297, best_val=0.783021
[2026-02-25 09:20:20] Epoch 23: train_loss=0.784853, val_loss=0.777981, best_val=0.777981
[2026-02-25 09:22:32] Epoch 24: train_loss=0.782946, val_loss=0.780486, best_val=0.777981
[2026-02-25 09:24:37] Epoch 25: train_loss=0.782901, val_loss=0.777397, best_val=0.777397
[2026-02-25 09:26:49] Epoch 26: train_loss=0.782908, val_loss=0.780965, best_val=0.777397
[2026-02-25 09:28:56] Epoch 27: train_loss=0.780748, val_loss=0.777993, best_val=0.777397
[2026-02-25 09:31:03] Epoch 28: train_loss=0.780661, val_loss=0.780231, best_val=0.777397
[2026-02-25 09:33:15] Epoch 29: train_loss=0.780875, val_loss=0.776343, best_val=0.776343
[2026-02-25 09:35:20] Epoch 30: train_loss=0.780747, val_loss=0.778919, best_val=0.776343
[2026-02-25 09:37:30] Epoch 31: train_loss=0.779719, val_loss=0.780091, best_val=0.776343
[2026-02-25 09:39:35] Epoch 32: train_loss=0.778882, val_loss=0.777378, best_val=0.776343
[2026-02-25 09:41:43] Epoch 33: train_loss=0.778050, val_loss=0.774570, best_val=0.774570
[2026-02-25 09:43:48] Epoch 34: train_loss=0.777531, val_loss=0.778826, best_val=0.774570
[2026-02-25 09:45:54] Epoch 35: train_loss=0.777322, val_loss=0.779177, best_val=0.774570
[2026-02-25 09:48:07] Epoch 36: train_loss=0.776929, val_loss=0.777214, best_val=0.774570
[2026-02-25 09:50:12] Epoch 37: train_loss=0.776212, val_loss=0.773606, best_val=0.773606
[2026-02-25 09:52:25] Epoch 38: train_loss=0.775370, val_loss=0.773879, best_val=0.773606
[2026-02-25 09:54:32] Epoch 39: train_loss=0.775426, val_loss=0.773369, best_val=0.773369
[2026-02-25 09:56:38] Epoch 40: train_loss=0.774087, val_loss=0.773645, best_val=0.773369
[2026-02-25 09:58:51] Epoch 41: train_loss=0.774409, val_loss=0.775060, best_val=0.773369
[2026-02-25 10:00:53] Epoch 42: train_loss=0.773398, val_loss=0.773217, best_val=0.773217
[2026-02-25 10:03:03] Epoch 43: train_loss=0.773365, val_loss=0.766946, best_val=0.766946
[2026-02-25 10:05:08] Epoch 44: train_loss=0.771372, val_loss=0.770499, best_val=0.766946
[2026-02-25 10:07:15] Epoch 45: train_loss=0.771351, val_loss=0.772107, best_val=0.766946
[2026-02-25 10:09:24] Epoch 46: train_loss=0.770470, val_loss=0.769427, best_val=0.766946
[2026-02-25 10:11:27] Epoch 47: train_loss=0.770878, val_loss=0.773916, best_val=0.766946
[2026-02-25 10:13:40] Epoch 48: train_loss=0.770662, val_loss=0.768473, best_val=0.766946
[2026-02-25 10:15:46] Epoch 49: train_loss=0.770495, val_loss=0.768088, best_val=0.766946
[2026-02-25 10:18:00] Epoch 50: train_loss=0.769574, val_loss=0.771378, best_val=0.766946
[2026-02-25 10:20:12] Epoch 51: train_loss=0.768994, val_loss=0.772336, best_val=0.766946
[2026-02-25 10:22:17] Epoch 52: train_loss=0.768907, val_loss=0.766060, best_val=0.766060
[2026-02-25 10:24:28] Epoch 53: train_loss=0.768430, val_loss=0.766946, best_val=0.766060
[2026-02-25 10:26:33] Epoch 54: train_loss=0.768760, val_loss=0.765214, best_val=0.765214
[2026-02-25 10:28:47] Epoch 55: train_loss=0.767716, val_loss=0.770159, best_val=0.765214
[2026-02-25 10:30:52] Epoch 56: train_loss=0.767221, val_loss=0.768513, best_val=0.765214
[2026-02-25 10:33:05] Epoch 57: train_loss=0.767585, val_loss=0.764969, best_val=0.764969
