[2026-02-25 12:10:14] Starting run: linear_midmask_smallbatch_mask50_bs16_p5_dim256_d4_h8_lr8e-05_wd0.0001_ep100_seed67
[2026-02-25 12:10:14] Using device: cuda
[2026-02-25 12:13:29] Epoch 1: train_loss=0.820111, val_loss=0.806064, best_val=0.806064
[2026-02-25 12:16:46] Epoch 2: train_loss=0.807987, val_loss=0.804856, best_val=0.804856
[2026-02-25 12:19:53] Epoch 3: train_loss=0.805689, val_loss=0.800416, best_val=0.800416
[2026-02-25 12:23:07] Epoch 4: train_loss=0.802733, val_loss=0.799401, best_val=0.799401
[2026-02-25 12:26:22] Epoch 5: train_loss=0.796751, val_loss=0.798711, best_val=0.798711
[2026-02-25 12:29:31] Epoch 6: train_loss=0.793821, val_loss=0.793710, best_val=0.793710
[2026-02-25 12:32:46] Epoch 7: train_loss=0.792148, val_loss=0.787992, best_val=0.787992
[2026-02-25 12:35:54] Epoch 8: train_loss=0.791182, val_loss=0.791525, best_val=0.787992
[2026-02-25 12:39:08] Epoch 9: train_loss=0.789643, val_loss=0.786872, best_val=0.786872
[2026-02-25 12:42:22] Epoch 10: train_loss=0.789268, val_loss=0.786214, best_val=0.786214
[2026-02-25 12:45:29] Epoch 11: train_loss=0.788774, val_loss=0.787633, best_val=0.786214
[2026-02-25 12:48:42] Epoch 12: train_loss=0.786356, val_loss=0.782804, best_val=0.782804
[2026-02-25 12:51:59] Epoch 13: train_loss=0.786359, val_loss=0.783336, best_val=0.782804
[2026-02-25 12:55:06] Epoch 14: train_loss=0.785592, val_loss=0.784447, best_val=0.782804
[2026-02-25 12:58:20] Epoch 15: train_loss=0.786191, val_loss=0.781985, best_val=0.781985
[2026-02-25 13:01:28] Epoch 16: train_loss=0.784717, val_loss=0.785343, best_val=0.781985
[2026-02-25 13:04:42] Epoch 17: train_loss=0.784884, val_loss=0.782080, best_val=0.781985
[2026-02-25 13:08:17] Epoch 18: train_loss=0.783026, val_loss=0.781738, best_val=0.781738
[2026-02-25 13:11:27] Epoch 19: train_loss=0.783271, val_loss=0.779490, best_val=0.779490
[2026-02-25 13:14:45] Epoch 20: train_loss=0.781493, val_loss=0.781846, best_val=0.779490
[2026-02-25 13:18:02] Epoch 21: train_loss=0.781526, val_loss=0.780946, best_val=0.779490
[2026-02-25 13:21:11] Epoch 22: train_loss=0.780212, val_loss=0.775977, best_val=0.775977
[2026-02-25 13:24:29] Epoch 23: train_loss=0.779243, val_loss=0.777158, best_val=0.775977
[2026-02-25 13:27:40] Epoch 24: train_loss=0.778448, val_loss=0.776023, best_val=0.775977
[2026-02-25 13:30:55] Epoch 25: train_loss=0.777682, val_loss=0.777572, best_val=0.775977
[2026-02-25 13:34:16] Epoch 26: train_loss=0.775622, val_loss=0.770888, best_val=0.770888
[2026-02-25 13:37:25] Epoch 27: train_loss=0.774858, val_loss=0.771423, best_val=0.770888
[2026-02-25 13:40:41] Epoch 28: train_loss=0.774742, val_loss=0.774529, best_val=0.770888
[2026-02-25 13:44:03] Epoch 29: train_loss=0.775076, val_loss=0.773086, best_val=0.770888
[2026-02-25 13:47:12] Epoch 30: train_loss=0.773389, val_loss=0.771362, best_val=0.770888
[2026-02-25 13:50:28] Epoch 31: train_loss=0.773433, val_loss=0.766796, best_val=0.766796
[2026-02-25 13:53:47] Epoch 32: train_loss=0.772102, val_loss=0.769268, best_val=0.766796
[2026-02-25 13:56:58] Epoch 33: train_loss=0.770241, val_loss=0.768041, best_val=0.766796
[2026-02-25 14:00:18] Epoch 34: train_loss=0.771051, val_loss=0.770186, best_val=0.766796
[2026-02-25 14:03:31] Epoch 35: train_loss=0.770255, val_loss=0.768798, best_val=0.766796
[2026-02-25 14:06:52] Epoch 36: train_loss=0.770203, val_loss=0.767300, best_val=0.766796
[2026-02-25 14:10:15] Epoch 37: train_loss=0.769994, val_loss=0.768675, best_val=0.766796
[2026-02-25 14:13:28] Epoch 38: train_loss=0.769437, val_loss=0.769126, best_val=0.766796
