[2026-02-26 22:09:50] Starting run: linear_patch25_mask60_bs64_p25_dim256_d6_h8_lr0.0001_wd0.0001_ep100_seed67
[2026-02-26 22:09:50] Using device: cuda
[2026-02-26 22:11:04] Epoch 1: train_loss=0.839322, val_loss=0.810469, best_val=0.810469
[2026-02-26 22:12:13] Epoch 2: train_loss=0.810352, val_loss=0.806378, best_val=0.806378
[2026-02-26 22:13:19] Epoch 3: train_loss=0.808060, val_loss=0.807290, best_val=0.806378
[2026-02-26 22:14:29] Epoch 4: train_loss=0.807225, val_loss=0.808563, best_val=0.806378
[2026-02-26 22:15:37] Epoch 5: train_loss=0.808252, val_loss=0.812044, best_val=0.806378
[2026-02-26 22:16:52] Epoch 6: train_loss=0.807289, val_loss=0.805884, best_val=0.805884
[2026-02-26 22:17:58] Epoch 7: train_loss=0.808437, val_loss=0.810650, best_val=0.805884
[2026-02-26 22:19:03] Epoch 8: train_loss=0.807097, val_loss=0.803374, best_val=0.803374
[2026-02-26 22:20:13] Epoch 9: train_loss=0.805756, val_loss=0.808415, best_val=0.803374
[2026-02-26 22:21:28] Epoch 10: train_loss=0.806049, val_loss=0.807025, best_val=0.803374
[2026-02-26 22:22:37] Epoch 11: train_loss=0.804992, val_loss=0.806834, best_val=0.803374
[2026-02-26 22:23:46] Epoch 12: train_loss=0.805416, val_loss=0.803777, best_val=0.803374
[2026-02-26 22:24:52] Epoch 13: train_loss=0.803923, val_loss=0.803524, best_val=0.803374
[2026-02-26 22:26:03] Epoch 14: train_loss=0.802695, val_loss=0.805392, best_val=0.803374
[2026-02-26 22:27:11] Epoch 15: train_loss=0.802962, val_loss=0.804409, best_val=0.803374
[2026-02-26 22:28:17] Epoch 16: train_loss=0.802136, val_loss=0.807981, best_val=0.803374
[2026-02-26 22:29:24] Epoch 17: train_loss=0.801584, val_loss=0.799133, best_val=0.799133
[2026-02-26 22:30:30] Epoch 18: train_loss=0.801148, val_loss=0.805831, best_val=0.799133
[2026-02-26 22:31:44] Epoch 19: train_loss=0.800105, val_loss=0.805977, best_val=0.799133
[2026-02-26 22:32:51] Epoch 20: train_loss=0.800266, val_loss=0.801221, best_val=0.799133
[2026-02-26 22:33:58] Epoch 21: train_loss=0.797820, val_loss=0.805335, best_val=0.799133
[2026-02-26 22:35:03] Epoch 22: train_loss=0.798831, val_loss=0.795870, best_val=0.795870
[2026-02-26 22:36:13] Epoch 23: train_loss=0.798203, val_loss=0.800215, best_val=0.795870
[2026-02-26 22:37:26] Epoch 24: train_loss=0.795589, val_loss=0.803790, best_val=0.795870
[2026-02-26 22:38:37] Epoch 25: train_loss=0.797750, val_loss=0.806537, best_val=0.795870
[2026-02-26 22:39:46] Epoch 26: train_loss=0.796091, val_loss=0.802843, best_val=0.795870
[2026-02-26 22:40:56] Epoch 27: train_loss=0.795698, val_loss=0.801677, best_val=0.795870
[2026-02-26 22:42:12] Epoch 28: train_loss=0.794520, val_loss=0.803860, best_val=0.795870
[2026-02-26 22:43:20] Epoch 29: train_loss=0.793656, val_loss=0.804031, best_val=0.795870
