run_name,status,mask_ratio,batch_size,patch,dim,depth,heads,lr,weight_decay,seed,best_val_loss,final_train_loss,final_val_loss,run_dir
linear_base_lowmask_mask40_bs32_p5_dim192_d4_h6_lr0.0001_wd0.0001_ep100_seed67,completed,0.4,32,5,192,4,6,0.0001,0.0001,67,0.75331138867013,0.7558351739087089,0.7617480621692982,checkpoints/linear_base_lowmask_mask40_bs32_p5_dim192_d4_h6_lr0.0001_wd0.0001_ep100_seed67
linear_base_mask60_bs32_p5_dim256_d4_h8_lr0.0001_wd0.0001_ep100_seed67,completed,0.6,32,5,256,4,8,0.0001,0.0001,67,0.758127008980893,0.7570136972816972,0.7617120425751869,checkpoints/linear_base_mask60_bs32_p5_dim256_d4_h8_lr0.0001_wd0.0001_ep100_seed67
linear_highmask_mask75_bs32_p5_dim256_d4_h8_lr0.0001_wd0.0001_ep100_seed67,completed,0.75,32,5,256,4,8,0.0001,0.0001,67,0.7680384504034165,0.7705967920998531,0.7740345698721866,checkpoints/linear_highmask_mask75_bs32_p5_dim256_d4_h8_lr0.0001_wd0.0001_ep100_seed67
linear_midmask_bigbatch_mask50_bs48_p5_dim256_d4_h8_lr0.0001_wd0.0001_ep100_seed67,completed,0.5,48,5,256,4,8,0.0001,0.0001,67,0.7569000361457704,0.7554786770231394,0.7615444423660399,checkpoints/linear_midmask_bigbatch_mask50_bs48_p5_dim256_d4_h8_lr0.0001_wd0.0001_ep100_seed67
linear_midmask_smallbatch_mask50_bs16_p5_dim256_d4_h8_lr8e-05_wd0.0001_ep100_seed67,completed,0.5,16,5,256,4,8,8e-05,0.0001,67,0.756983830256665,0.7523542089205326,0.7612619393683494,checkpoints/linear_midmask_smallbatch_mask50_bs16_p5_dim256_d4_h8_lr8e-05_wd0.0001_ep100_seed67
linear_deep_mask60_bs24_p5_dim256_d6_h8_lr8e-05_wd0.0001_ep100_seed67,completed,0.6,24,5,256,6,8,8e-05,0.0001,67,0.7562896332740784,0.7552505829961677,0.7617496337890625,checkpoints/linear_deep_mask60_bs24_p5_dim256_d6_h8_lr8e-05_wd0.0001_ep100_seed67
linear_deeper_mask60_bs16_p5_dim256_d8_h8_lr6e-05_wd0.0001_ep100_seed67,completed,0.6,16,5,256,8,8,6e-05,0.0001,67,0.7576918389568937,0.7529356842826599,0.7625330363182311,checkpoints/linear_deeper_mask60_bs16_p5_dim256_d8_h8_lr6e-05_wd0.0001_ep100_seed67
linear_wide_mask60_bs16_p5_dim320_d4_h10_lr8e-05_wd0.0001_ep100_seed67,completed,0.6,16,5,320,4,10,8e-05,0.0001,67,0.7608173048876702,0.7574250624315678,0.7631356005973005,checkpoints/linear_wide_mask60_bs16_p5_dim320_d4_h10_lr8e-05_wd0.0001_ep100_seed67
linear_compact_mask60_bs64_p5_dim128_d4_h4_lr0.00015_wd0.0001_ep100_seed67,completed,0.6,64,5,128,4,4,0.00015,0.0001,67,0.7646836625768784,0.7676748568495249,0.765735536179644,checkpoints/linear_compact_mask60_bs64_p5_dim128_d4_h4_lr0.00015_wd0.0001_ep100_seed67
linear_large_mask60_bs12_p5_dim384_d6_h12_lr6e-05_wd0.0001_ep100_seed67,completed,0.6,12,5,384,6,12,6e-05,0.0001,67,0.7543712685108185,0.7483604460891924,0.7583691973686219,checkpoints/linear_large_mask60_bs12_p5_dim384_d6_h12_lr6e-05_wd0.0001_ep100_seed67
linear_patch25_mask60_bs64_p25_dim256_d6_h8_lr0.0001_wd0.0001_ep100_seed67,completed,0.6,64,25,256,6,8,0.0001,0.0001,67,0.7958703294713446,0.7595274051030477,0.8185752452688014,checkpoints/linear_patch25_mask60_bs64_p25_dim256_d6_h8_lr0.0001_wd0.0001_ep100_seed67
linear_lowwd_mask60_bs32_p5_dim256_d4_h8_lr0.0001_wd5e-05_ep100_seed67,completed,0.6,32,5,256,4,8,0.0001,5e-05,67,0.758127008980893,0.7570136972816972,0.7617120425751869,checkpoints/linear_lowwd_mask60_bs32_p5_dim256_d4_h8_lr0.0001_wd5e-05_ep100_seed67
linear_highwd_mask60_bs32_p5_dim256_d4_h8_lr0.0001_wd0.0005_ep100_seed67,completed,0.6,32,5,256,4,8,0.0001,0.0005,67,0.7582250535488129,0.7569928888386214,0.7614704820703952,checkpoints/linear_highwd_mask60_bs32_p5_dim256_d4_h8_lr0.0001_wd0.0005_ep100_seed67
