checkpoint,pre_acc,pre_auc,pre_loss,pre_loss_denorm,scratch_acc,scratch_auc,scratch_loss,scratch_loss_denorm,task
linear_base_lowmask_mask40_bs32_p5_dim192_d4_h6_lr0.0001_wd0.0001_ep100_seed67,0.871,0.9382511064989623,0.3184836423468022,,0.8145,0.8812192743367256,0.4255568654764266,,cls
linear_base_lowmask_mask40_bs32_p5_dim192_d4_h6_lr0.0001_wd0.0001_ep100_seed67,,,0.4411827377856724,1160.823457582243,,,0.4761515867615503,1252.8321802706857,mass
linear_base_lowmask_mask40_bs32_p5_dim192_d4_h6_lr0.0001_wd0.0001_ep100_seed67,,,0.9508459364611005,11142.667572305734,,,1.0364287694295247,12145.586153640315,pt
linear_base_mask60_bs32_p5_dim256_d4_h8_lr0.0001_wd0.0001_ep100_seed67,0.8865,0.9478832737365908,0.27972393660318284,,0.8015,0.8709244580030506,0.43532551777741263,,cls
linear_base_mask60_bs32_p5_dim256_d4_h8_lr0.0001_wd0.0001_ep100_seed67,,,0.36567384501298267,962.147293536173,,,0.469854159251092,1236.2626254117304,mass
linear_base_mask60_bs32_p5_dim256_d4_h8_lr0.0001_wd0.0001_ep100_seed67,,,0.8467167242178841,9922.409744932986,,,1.0199208363654122,11952.13482426525,pt
linear_compact_mask60_bs64_p5_dim128_d4_h4_lr0.00015_wd0.0001_ep100_seed67,0.8765,0.9363116701257784,0.31016033544899924,,0.8255,0.889361106248906,0.40237249055552105,,cls
linear_compact_mask60_bs64_p5_dim128_d4_h4_lr0.00015_wd0.0001_ep100_seed67,,,0.3947012120532611,1038.523011999968,,,0.4795578850640191,1261.79470449109,mass
linear_compact_mask60_bs64_p5_dim128_d4_h4_lr0.00015_wd0.0001_ep100_seed67,,,0.9151034773815245,10723.812819428795,,,1.0758832248430403,12607.9406361713,pt
linear_deep_mask60_bs24_p5_dim256_d6_h8_lr8e-05_wd0.0001_ep100_seed67,0.88,0.9492555825060638,0.2889848467967813,,0.8165,0.8868665449726189,0.4216750377700442,,cls
linear_deep_mask60_bs24_p5_dim256_d6_h8_lr8e-05_wd0.0001_ep100_seed67,,,0.324282065270439,853.238796532457,,,0.5037172467462601,1325.3619100026146,mass
linear_deep_mask60_bs24_p5_dim256_d6_h8_lr8e-05_wd0.0001_ep100_seed67,,,0.9143154999566456,10714.578757249821,,,1.086907835706832,12737.134619401084,pt
linear_deeper_mask60_bs16_p5_dim256_d8_h8_lr6e-05_wd0.0001_ep100_seed67,0.885,0.9462779125303193,0.29152856542477534,,0.8,0.8705918831737142,0.44808286475756814,,cls
linear_deeper_mask60_bs16_p5_dim256_d8_h8_lr6e-05_wd0.0001_ep100_seed67,,,0.3481627025064968,916.0726327445502,,,0.47104329414783963,1239.3914325117148,mass
linear_deeper_mask60_bs16_p5_dim256_d8_h8_lr6e-05_wd0.0001_ep100_seed67,,,0.8601434443678174,10079.75329921467,,,1.0465851657920413,12264.605801367155,pt
linear_highmask_mask75_bs32_p5_dim256_d4_h8_lr0.0001_wd0.0001_ep100_seed67,0.876,0.9409557150358832,0.30903730707036126,,0.814,0.8833717586456953,0.42017331743051134,,cls
linear_highmask_mask75_bs32_p5_dim256_d4_h8_lr0.0001_wd0.0001_ep100_seed67,,,0.35563329902906266,935.7289858671869,,,0.44492266575495404,1170.6638156574475,mass
linear_highmask_mask75_bs32_p5_dim256_d4_h8_lr0.0001_wd0.0001_ep100_seed67,,,0.8381191075794281,9821.65695161192,,,1.0537979579161083,12349.130267239878,pt
