epoch,train,val,train_acc,val_acc
1,0.6219183899296654,0.5639393305778504,0.6698611111111111,0.7225
2,0.5364670711093479,0.46405494689941407,0.7425,0.785
3,0.5047072393364377,0.47614196717739105,0.7636111111111111,0.8025
4,0.48700857751899296,0.43385334730148317,0.7751388888888889,0.82
5,0.46983827518092264,0.5525264620780945,0.7870833333333334,0.74
6,0.46215261505709754,0.4005578398704529,0.7897222222222222,0.8225
7,0.47378453188472325,0.3957104194164276,0.78125,0.82125
8,0.44186438878377277,0.3989565908908844,0.7969444444444445,0.82625
9,0.4302957426177131,0.4069835203886032,0.8047222222222222,0.82
10,0.43085031112035116,0.3915844112634659,0.80125,0.83
