epoch,train,val,train_acc,val_acc
1,0.35475602209568025,0.2584477135539055,0.8506944444444444,0.91375
2,0.29417711595694224,0.2543836858868599,0.8826388888888889,0.9125
3,0.2592606698473295,0.25564165771007535,0.8983333333333333,0.90875
4,0.23628105531136195,0.2682531729340553,0.9086111111111111,0.90125
5,0.19947441044780942,0.2642760007083416,0.9240277777777778,0.905
6,0.17140413860479992,0.30105821520090104,0.9348611111111111,0.885
7,0.13647113788045115,0.3187019853293896,0.9516666666666667,0.88625
8,0.09547876094157497,0.3283593666553497,0.96625,0.905
9,0.08914145815289683,0.38800226714462044,0.9698611111111111,0.89375
10,0.06228561124764383,0.5093045219779014,0.9776388888888888,0.8925
