epoch,train,val,train_acc,val_acc
1,0.37554480767912335,0.25029818832874295,0.8391666666666666,0.9075
2,0.28509277111954157,0.2586029261350632,0.8872222222222222,0.91375
3,0.23925656295484968,0.28249012351036074,0.9048611111111111,0.89125
4,0.1913229135506683,0.2829361468553543,0.9284722222222223,0.89125
5,0.1522989207588964,0.2755236864089966,0.9406944444444445,0.905
6,0.10915278736915854,0.36661846816539767,0.9580555555555555,0.88
7,0.07779518083617505,0.37023992627859115,0.9730555555555556,0.89
8,0.04081777371323875,0.4603565338253975,0.9854166666666667,0.89875
9,0.04396021221686775,0.5297519790381193,0.9840277777777777,0.8775
10,0.03510995702766296,0.4021136689186096,0.9880555555555556,0.8975
