epoch,train,val,train_acc,val_acc
1,0.36320449103911717,0.2694876089692116,0.84,0.89625
2,0.2891320848796103,0.2642744070291519,0.8840277777777777,0.91
3,0.2500202675660451,0.2452072846889496,0.9020833333333333,0.90375
4,0.21706514057185916,0.2534629490971565,0.9166666666666666,0.89375
5,0.18625563429461586,0.2751778045296669,0.9279166666666666,0.905
6,0.15563437877843778,0.3281779199838638,0.94,0.8775
7,0.11071782895053427,0.3324839729070663,0.9569444444444445,0.88875
8,0.07533963241717882,0.3804103711247444,0.9722222222222222,0.89625
9,0.06654748334963288,0.3983721552789211,0.9773611111111111,0.87625
10,0.057746670139539574,0.3638105604052544,0.9790277777777778,0.8925
