epoch,train,val,train_acc,val_acc
1,0.6158876861466301,0.5494039607048035,0.665,0.7325
2,0.5229644242922465,0.4271880602836609,0.7509722222222223,0.815
3,0.49612588538063895,0.42338616132736206,0.7619444444444444,0.8075
4,0.48803423629866705,0.4462128406763077,0.7718055555555555,0.8125
5,0.47762670106357996,0.6070328164100647,0.7783333333333333,0.7475
6,0.4647259494331148,0.5028393578529358,0.7875,0.755
7,0.45738496237330967,0.42171969175338747,0.7919444444444445,0.82
8,0.44851019819577537,0.4061983442306519,0.7925,0.81625
9,0.4437348057164086,0.4159024822711945,0.7981944444444444,0.82375
10,0.4350262337260776,0.48477184236049653,0.7994444444444444,0.8
